"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-24","10.74","0.22","1.9",,"46","32","    1",,,,,,,,,,,,,,,,"    1",,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-25","7.38","0.10","0.1",,"47","35","    1",,,,,,,,,,,,"    1",,"    1",,"    1",,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-26","10.29","0.00","0.0",,"55","35",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-27","9.62","0.00","0.0",,"48","34",,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-28","9.17","0.00","0.0",,"55","32",,,,,,,,"    1",,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-29","10.07","0.06","0.0",,"50","43","    1",,,,,,,,,,,,"    1",,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-30","11.41","0.31","0.0",,"47","43","    1",,,,,,,,,,,,"    1",,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-03-31","5.14","0.31","0.0",,"50","43","    1",,,,,,,,,,,,"    1",,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-01","6.71","0.36","0.0",,"57","47","    1",,"    1",,,,,,,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-02","9.17","0.56","0.0",,"66","50","    1","    1","    1",,,,,,,,,,"    1",,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-03","16.11","0.01","0.0",,"56","41","    1",,,,,,,,,,,,,,"    1",,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-04","13.87","0.02","0.0",,"51","37",,,,,,,,,,,,,,,"    1",,"    1",,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1990-04-05","11.41","0.00","0.0",,"64","44",,,,,,,,,,,,,,,,,,,,
